OBS_STATUS,CONF_STATUS,FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,METHOD_REF,COLLECTION,COLLECTION_DETAIL,SUPP_INFO_BREAKS,DECIMALS,COMPILING_ORG,UNIT_MULT,TITLE,DISS_ORG,DATA_COMP,TIME_PERIOD,value
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-05,7.7421556326443
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-06,8.0203771429212
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-07,8.0939276127802
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-08,7.9037043690518
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-09,8.1728499534751
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-10,8.1868185308794
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-11,8.0308912798998
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1955-12,8.5436111111348
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1956-01,8.3324103855013
A,F,M,FR,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of France; European Central Bank; Bank for International Settlements.,9,"France - Central bank, assets, total, BIS-spliced, USD",5B0,"From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between January 1999 and May 2016: monthly balance sheet items following the harmonised monetary statistics of monetary financial institutions. Between 1840 and 1998: Baubeau (2018): 'The Bank of France's balance sheets database, 1840-1998: an introduction to 158 years of central banking'. Before 1840: Bignon and Plüss (forthcoming): 'Accounting for the first 223 years of Banque de France balance sheets'.",1956-02,8.2274401704449
