OBS_STATUS,CONF_STATUS,FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,METHOD_REF,COLLECTION,COLLECTION_DETAIL,SUPP_INFO_BREAKS,DECIMALS,COMPILING_ORG,UNIT_MULT,TITLE,DISS_ORG,DATA_COMP,TIME_PERIOD,value
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-04,4.05321935102
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-05,4.0372338080867
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-06,4.0911792008978
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-07,4.2186238212231
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-08,4.1952515632951
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-09,4.255344903562
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-10,4.1803224995777
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-11,4.279950867516
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1957-12,4.4941111757385
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-01,4.4803866212448
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-02,4.4733905918627
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-03,4.570411232909
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-04,4.4991996984243
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-05,4.6073375605018
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-06,4.7109221087808
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-07,4.9534622812456
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-08,4.8831963381924
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-09,4.9718752850876
A,F,M,IT,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of Italy; European Central Bank; Bank for International Settlements.,9,"Italy - Central bank, assets, total, BIS-spliced, USD",5B0,From June 2016 onwards: disaggregated financial statement of the Eurosystem. Between September 1997 and May 2016: the Bank of Italy balance sheet aggregates following the harmonised monetary statistics of monetary financial institutions. Between December 1894 and August 1997: IBIS - Bank of Italy historical balance sheet series.,1958-10,4.9308658228844
